bank_id,personal_id,credit_type,credit_card,iban,validade
1,1,china-unionpay,5602222511872182981,IS77 1387 2507 1033 6553 6254 54,2023/05/27
2,2,jcb,3567857758396156,FR40 8246 6193 048W BIYT F8JH H71,2026/12/08
3,3,jcb,3558720664142240,FR52 8228 5745 23HB DJTC 0IM8 Q16,2025/04/17
4,4,jcb,3566015785006485,NL28 AFQH 9276 7484 84,2024/09/09
5,5,laser,6771807066876410,AZ31 PBFX GTBI 3TUJ LLZF SMX5 VAWX,2023/09/30
6,6,maestro,5038312885487391,GL51 2566 7520 5056 50,2025/10/31
7,7,jcb,3565391222565222,GI92 JLLY JW17 IP6C JHYE WZ8,2024/06/17
8,8,jcb,3528073393641133,MK35 885S NOGV SW3O E97,2027/01/15
9,9,jcb,3572605853145827,TN98 4524 5656 3921 1201 8342,2027/03/13
10,10,visa-electron,4026579920348740,LV94 UDLD DF0E JV8U TBAZ 3,2024/01/23
11,11,jcb,3570477739262388,PK85 LKCZ 3VYS HGZW K7LJ DBGM,2025/04/28
12,12,jcb,3567287126044421,FR61 0349 7381 770I 9SQR 2HSP B62,2024/10/20
13,13,mastercard,5100176288920966,CZ55 9814 3011 4889 1802 1917,2023/04/24
14,14,jcb,3534590170449424,PS23 MFGA GPO9 NB3E XBO4 64TC GECZ L,2023/04/23
15,15,switch,633319088255565664,LU12 883F SOGD MMID O6UJ,2026/03/09
16,16,jcb,3589662818442840,MU12 JSFK 2703 4604 3224 8317 580J RZ,2027/01/05
17,17,jcb,3584368337754617,BA12 9984 1807 7331 9069,2023/05/30
18,18,visa,4041377053749,LV54 VBKU 7X6C JBWE YW3X 9,2023/10/08
19,19,jcb,3547197184841003,MC50 5450 5419 70IN SHNU UCNV S86,2025/08/26
20,20,jcb,3533797056546873,SM51 Y531 1915 822S CUHW SVRI MP6,2023/03/25
21,21,jcb,3534497615032353,FR87 6114 4439 91F2 0QMF 2YQA W53,2025/10/01
22,22,diners-club-enroute,201885758864210,CY11 1938 6245 6IPI Y2LL FL1C YGKD,2023/10/14
23,23,jcb,3559809959708770,NO82 0883 3175 912,2026/08/17
24,24,jcb,3579850387915369,ME03 0652 1192 8253 3206 31,2026/07/24
25,25,mastercard,5007664233554232,FR20 1816 3874 55PD FRQD EZ8T O38,2027/12/31
26,26,jcb,3575989552929914,FR02 6439 8259 064Z W7XJ SPXR K47,2024/07/12
27,27,diners-club-carte-blanche,30549524950748,FR59 8528 3558 30H7 UECL 2FQU M60,2024/07/28
28,28,maestro,50189482679956472,CH55 7286 4C5L 4QTY XKKU G,2026/02/08
29,29,jcb,3579156159812986,GB61 CCAS 2042 4353 1602 54,2025/12/20
30,30,laser,6304599576978499,GR82 0028 513P JXWZ WERC FXFD EXV,2023/05/15
31,31,jcb,3584215921315547,FR87 8175 2014 96XG EXV4 AHBX G81,2023/05/14
32,32,jcb,3585554117283831,PK72 JNCG VVVE Q9C1 V3WP QVL6,2025/08/16
33,33,jcb,3528271123199972,FR46 5148 7255 07MT QUTK CLQT 585,2026/10/31
34,34,jcb,3557901663698751,RS12 1795 0224 2477 6228 25,2025/06/11
35,35,americanexpress,345327413528630,TN76 6076 7432 4426 3969 9612,2026/10/23
36,36,jcb,3566032222266168,FR60 9034 7806 25FK HOMG ZY0B E44,2024/08/21
37,37,jcb,3547645813263221,IL43 4943 4471 0120 9131 563,2027/05/09
38,38,mastercard,5100172622318900,FR74 8745 4183 84FH KXOG KPZ4 F80,2026/07/06
39,39,jcb,3559043007204109,BR98 7704 9197 9614 6394 5445 652I F,2023/10/15
40,40,switch,4911830847382363,SK15 4859 8825 7161 2528 6637,2024/10/23
41,41,visa-electron,4175009388861082,SA13 19NI WWU7 YASU POAV A5QP,2026/11/21
42,42,jcb,3553468562548630,TR68 4682 3ARA PLEQ 01O8 CJU1 AV,2027/10/19
43,43,jcb,3547071845856835,ES49 4128 4967 2028 8242 6896,2027/07/16
44,44,mastercard,5100179626443329,HR75 9150 9950 5787 0648 8,2026/10/17
45,45,jcb,3537106991370553,BE51 3202 6480 0532,2027/12/14
46,46,maestro,675994578246565800,PS63 MDWT 6BGT W4FZ MSWW XQDY LCNO L,2025/09/09
47,47,mastercard,5002353968912766,SA14 04YL AMKC OAZW WOS6 WXVX,2024/01/14
48,48,jcb,3572144730186481,KW54 VBHM WX9W PTET 2HTS 3X11 8MWM 54,2024/05/29
49,49,visa-electron,4026572619474935,FR10 3992 4402 03EW 8QFA KW17 847,2023/05/22
50,50,diners-club-carte-blanche,30065511721562,SA61 76RN BBLY QJSJ URLZ LED1,2025/12/25
51,51,visa-electron,4844139396838383,SE14 0718 9421 5742 9942 6848,2023/11/09
52,52,visa-electron,4913559967718969,FR14 2920 1283 24KF JBCS XKEA Z95,2026/11/28
53,53,jcb,3589189207265590,PK47 SMBV U0UI 6BG1 SJW8 78PQ,2025/12/21
54,54,jcb,3556457025120712,FR69 8034 3305 61PW MI9Q SJCR Z94,2024/11/27
55,55,visa-electron,4844949984847400,PL03 6414 7101 7810 5156 3143 3924,2024/05/14
56,56,china-unionpay,5602217344665916424,SA50 16PJ WBQB AIFI AN8G 0CVN,2025/08/04
57,57,jcb,3545478772000232,AE32 2316 3498 8798 5874 682,2028/01/06
58,58,mastercard,5100141359955077,GE07 QB88 3033 6854 0493 20,2026/04/01
59,59,laser,6706118617840107,HR31 5506 9246 6062 3745 8,2024/01/10
60,60,jcb,3586975632521711,EE95 9299 8495 1595 7889,2026/08/22
61,61,jcb,3574119583636236,DO25 EYJK 7575 7130 5772 8811 8470,2026/11/24
62,62,jcb,3533545132878202,PL21 0770 7211 5489 0229 5573 6555,2023/09/24
63,63,jcb,3573311056787726,LV61 YQOZ FQNV 7STM JE3M B,2024/06/06
64,64,americanexpress,374283388288375,CH26 7469 3HGC RYQV MHCJ 1,2023/04/07
65,65,jcb,3567946035031080,CH83 6537 5BS1 DYUS R6ZL V,2027/07/18
66,66,china-unionpay,560222385044421030,PT26 2916 3237 9981 9269 9631 6,2027/10/11
67,67,bankcard,5610295037970552,FR43 9225 3692 838O IVOI 8YEM 958,2024/07/07
