social_id,personal_id,citizen_card,social_nr,fiscal_id
1,1,14P3Z14hB,268-90-0498,558919645
2,2,S39sQ46e2,289-15-5850,202934327
3,3,R1V465PtS,836-94-0121,523281840
4,4,20VwP2DuN,482-68-5376,953038728
5,5,V449S9W3F,482-75-5036,818730700
6,6,X960P4WtU,519-70-8619,516093276
7,7,D8Y6C4I0E,864-06-2722,437749912
8,8,Q20xE7Ci1,740-14-5839,492885304
9,9,V2Zj579gI,161-01-6086,402389132
10,10,97Jv32Bi5,505-85-7809,159701335
11,11,79K8R3KmX,693-72-1670,133143330
12,12,J81dW03vC,157-13-3059,572896816
13,13,X6FhM4NmP,223-62-8519,591071009
14,14,74AqM4OmV,140-42-3551,138600790
15,15,21KwX39pA,723-81-4112,092411165
16,16,43Q4924eH,220-36-0867,966042819
17,17,H4VwA00qF,230-72-2989,557244752
18,18,E0PpG0SkB,251-49-5054,609903072
19,19,M5EqL227D,218-97-6747,396778549
20,20,A8G448KbE,842-35-7800,891561080
21,21,M19a86JyY,803-40-2673,537611367
22,22,I2SbA44bL,507-76-3624,793347253
23,23,K2OyM4FsS,725-30-9279,743592997
24,24,A9MkG90a6,753-41-6481,100118587
25,25,553mZ12qC,635-94-5820,236971626
26,26,80QcN2T9H,428-58-7938,453838314
27,27,449hW4L29,366-28-7902,408334625
28,28,6661A09lQ,493-60-3910,218835042
29,29,U7F669LwR,603-34-7375,011581424
30,30,H9WvA0L1K,211-75-5053,524498866
31,31,H1Tz68LpN,486-20-3552,223032808
32,32,T4Nl26Sv8,385-36-5689,581400270
33,33,38AiJ3H9D,668-73-5289,388119582
34,34,Y1Li30WuN,514-74-9492,844875641
35,35,484jV0MnT,530-88-9119,583305793
36,36,D8LcE90fT,343-31-3898,848417504
37,37,32BfC5727,338-13-0778,834136779
38,38,V594B7SqI,567-48-5363,783137587
39,39,51NgO03kX,225-91-5813,027305938
40,40,11O1J0UgN,764-01-5757,368398899
41,41,60LsA7XnR,796-50-5272,381659232
42,42,D8HbY7E6N,399-81-8905,389369652
43,43,H9E6E87xD,823-27-7588,500306762
44,44,T9BmM8Wa2,827-20-5721,725073808
45,45,172zU5Lr6,419-17-9241,293157878
46,46,E18pF96dY,107-81-1227,154819012
47,47,L1K0008zH,534-81-7485,222077697
48,48,J24bY6L6S,111-28-0587,977453224
49,49,Q64m427z9,338-45-3207,316712973
50,50,W6N8J219O,658-66-9363,592127079
51,51,U7EbG723L,225-40-0772,345567321
52,52,R4Iz30A8B,508-46-7594,325631145
53,53,T20fL9Wl2,715-89-2737,213913518
54,54,H24hH8B2O,665-37-8141,131337442
55,55,T6PlP10jD,556-59-8881,239767984
56,56,M96970Pa5,228-63-2882,783408553
57,57,X0YdX8GyJ,840-90-1101,005768383
58,58,V07z5908X,480-94-4750,189084869
59,59,37W3T4XwR,338-44-2857,112514920
60,60,V3CwE0Kd0,339-93-1269,288266465
